orderedtreatname,treatname,sludgetype,sludgetypeshort,daysludgetreat,newtreatname,day,timepoint,avetotinorgn,stdevtotinorgn,counttotinorgn,aveammnbiosolidmgkg,stdevammnbiosolidmgkg,countammnbiosolid,avenh4n mgkg,sdnh4n mgkg,countnh4n mgkg,aveno3n mgkg,sdno3n mgkg,countno3nmgkg,avenh4nmgkgsoilb4,nh4nmgkgsoilb4sd,nh4nmgkgsoilb4count,aveno3nmgkgsoilb4,no3nmgkgsoilb4sd,no3nmgkgsoilb4count,ave orgnbiosolidmgkg,ave orgnbiosolidsdmgkg,ave orgnbiosolidcount, totNorgandammstartmgkg , totNorgandammstartmgkgsd , totNorgandammstartcount , totNorgandammstartse ,mineralisenpercent,mineralisenpercentsd,mineralisenpercentse,mineralisenmgkg,mineralisensd,treatno
cd7 iAD-C  pF1,cd7 iAD-C  pF1,S-AD pF1,S-AD,D7 S-AD pF1,S-AD,7,3,104.72,5.628534445,3,176.9616203,16.08480382,5,64.85333333,30.39839689,3,39.86666667,29.55848665,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,-0.091522073,-0.019321319,-0.011155168,-81.05600683,17.05464708,9
cd7 jAD-FD  pF1,cd7 jAD-FD  pF1,S-AD-FD pF1,S-FD,D7 S-AD-FD pF1,S-FD,7,3,103.9766667,9.543947471,3,68.60043788,1.677252186,5,103.9766667,9.543947471,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.028845778,0.010555407,0.006094167,26.56184221,9.713896295,10
cd7 kAD-LD70  pF1,cd7 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D7 S-LD70 pF1,S-LD70,7,3,143.5633333,26.68991258,3,120.958969,4.013035941,5,137.7266667,31.61788313,3,5.836666667,10.10940321,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.016133187,0.03158699,0.018236757,13.78997773,26.99843632,11
cd7 lAD-LD130  pF1,cd7 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D7 S-LD130 pF1,S-LD130,7,3,133.8466667,7.6857292,3,90.50620022,1.116441731,5,130.6033333,3.404120053,3,3.243333333,5.617618119,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.038708407,0.008807435,0.005084975,34.52607987,7.795931534,12
cd7 mAD-LD190  pF1,cd7 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D7 S-LD190 pF1,S-LD190,7,3,68.88666667,5.384759357,3,21.69739939,1.246584939,5,54.77666667,15.74935343,3,14.11,12.43142389,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.042951233,0.006296864,0.003635496,38.3748807,5.568597701,13
cd7 nAD-LD250  pF1,cd7 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D7 S-LD250 pF1,S-LD250,7,3,62.66333333,6.045083402,3,22.86937266,2.610963811,5,62.66333333,6.045083402,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.033932692,0.007301754,0.00421567,30.97957409,6.619655457,14
dd14 aC pF2,dd14 aC pF2,C pF2,C,D14 C pF2,C,14,4,15.84,0.956869897,3,0,0,5,0,0,3,15.84,0.956869897,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,7.025613422,1.172720344,1
dd14 bAD-C  pF2,dd14 bAD-C  pF2,S-AD pF2,S-AD,D14 S-AD pF2,S-AD,14,4,173.9133333,8.559090684,3,176.9616203,16.08480382,5,10.83333333,3.582099012,3,163.08,5.000289992,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,-0.013394399,-0.020588453,-0.011886749,-11.8626735,18.2328994,2
dd14 cAD-FD  pF2,dd14 cAD-FD  pF2,S-AD-FD pF2,S-FD,D14 S-AD-FD pF2,S-FD,14,4,270.6733333,8.317056771,3,68.60043788,1.677252186,5,137.64,2.805993585,3,133.0333333,9.979711085,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.209875959,0.00961401,0.005550651,193.2585089,8.511538124,3
dd14 dAD-LD70  pF2,dd14 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D14 S-LD70 pF2,S-LD70,14,4,222.8133333,31.35370047,3,120.958969,4.013035941,5,110.1533333,25.48249268,3,112.66,8.584107408,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.108849438,0.03702595,0.021376942,93.03997773,31.61674657,4
dd14 eAD-LD130  pF2,dd14 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D14 S-LD130 pF2,S-LD130,14,4,170.0833333,4.310653469,3,90.50620022,1.116441731,5,50.43333333,8.231235225,3,119.65,10.61163984,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.079334613,0.005518134,0.003185896,70.76274654,4.504203423,5
dd14 fAD-LD190  pF2,dd14 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D14 S-LD190 pF2,S-LD190,14,4,157.7466667,10.15757025,3,21.69739939,1.246584939,5,11.42666667,2.713251432,3,146.32,12.86039268,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.142408131,0.011858153,0.006846308,127.2348807,10.25621179,6
dd14 gAD-LD250  pF2,dd14 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D14 S-LD250 pF2,S-LD250,14,4,134.01,23.89499738,3,22.86937266,2.610963811,5,4.286666667,4.24077037,3,129.7233333,19.73764001,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.112080458,0.026492542,0.015295476,102.3262408,24.04678159,7
dd14 hC pF1,dd14 hC pF1,C pF1,C,D14 C pF1,C,14,4,10.86666667,5.127049184,3,0,0,5,0,0,3,10.86666667,5.127049184,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,2.052280088,5.171683124,8
dd14 iAD-C  pF1,dd14 iAD-C  pF1,S-AD pF1,S-AD,D14 S-AD pF1,S-AD,14,4,93.13333333,14.7249867,3,176.9616203,16.08480382,5,31.50333333,21.63459806,3,61.63,31.24562209,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,-0.104604827,-0.02470061,-0.014260904,-92.6426735,21.81755762,9
dd14 jAD-FD  pF1,dd14 jAD-FD  pF1,S-AD-FD pF1,S-FD,D14 S-AD-FD pF1,S-FD,14,4,137.6833333,44.82433082,3,68.60043788,1.677252186,5,95.12666667,46.57046417,3,42.55666667,73.71030887,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.065450733,0.048725184,0.028131498,60.26850888,44.86082346,10
dd14 kAD-LD70  pF1,dd14 kAD-LD70  pF1,S-LD70 pF1,S-LD70,D14 S-LD70 pF1,S-LD70,14,4,121.6,27.12545483,3,120.958969,4.013035941,5,121.6,27.12545483,3,0,0,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,-0.009562182,-0.032090189,-0.018527279,-8.173355601,27.42908001,11
dd14 lAD-LD130  pF1,dd14 lAD-LD130  pF1,S-LD130 pF1,S-LD130,D14 S-LD130 pF1,S-LD130,14,4,112.64,7.314670191,3,90.50620022,1.116441731,5,100.3466667,14.14358276,3,12.29333333,21.29267793,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.014932864,0.008340976,0.004815665,13.31941321,7.43037786,12
dd14 mAD-LD190  pF1,dd14 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D14 S-LD190 pF1,S-LD190,14,4,79.35,26.31677982,3,21.69739939,1.246584939,5,52.85333333,6.514187082,3,26.49666667,23.41418445,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.054662359,0.029520018,0.017043391,48.83821403,26.3550099,13
dd14 nAD-LD250  pF1,dd14 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D14 S-LD250 pF1,S-LD250,14,4,49.47,20.96533091,3,22.86937266,2.610963811,5,32.98666667,35.73854548,3,16.48333333,16.86728886,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.019481709,0.023158442,0.013370533,17.78624076,21.13816229,14
ed42 aC pF2,ed42 aC pF2,C pF2,C,D42 C pF2,C,42,5,17.98,3.156247772,3,0,0,5,0,0,3,17.98,3.156247772,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,9.165613422,3.228246119,1
ed42 bAD-C  pF2,ed42 bAD-C  pF2,S-AD pF2,S-AD,D42 S-AD pF2,S-AD,42,5,325.4233333,4.279127637,3,176.9616203,16.08480382,5,20.66666667,1.060204383,3,304.7566667,3.624090691,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,0.157678787,0.019004468,0.010972234,139.6473265,16.65807673,2
ed42 cAD-FD  pF2,ed42 cAD-FD  pF2,S-AD-FD pF2,S-FD,D42 S-AD-FD pF2,S-FD,42,5,351.96,2.861817604,3,68.60043788,1.677252186,5,27.86,2.710147597,3,324.1,0.392300905,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.29815211,0.00525574,0.003034403,274.5451755,3.385682782,3
ed42 dAD-LD70  pF2,ed42 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D42 S-LD70 pF2,S-LD70,42,5,271.1166667,7.631004739,3,120.958969,4.013035941,5,9.466666667,3.048874109,3,261.65,9.36532434,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.165360529,0.010424463,0.006018567,141.3433111,8.648489105,4
